IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
0,1,9,3,9,0,0,0
0,1,8,3,9,0,0,0
0,0,7,3,1,0,0,0
0,1,39,11,18,0,0,0
0,0,37,9,24,0,0,0
0,1,21,5,6,0,0,0
0,1,10,3,9,0,0,0
0,0,18,3,7,0,0,1
0,0,41,10,20,0,0,0
0,0,7,4,1,0,0,0
0,1,17,6,7,0,0,0
0,0,37,9,25,0,0,0
0,0,16,0,11,0,0,0
0,1,6,1,1,0,0,0
0,1,43,11,20,0,0,0
0,0,139,41,73,0,0,0
0,1,27,9,9,0,0,0
0,0,27,6,14,0,0,0
0,0,138,41,72,0,0,0
0,0,8,1,3,0,0,0
0,0,65,17,34,0,0,0
0,1,17,6,7,0,0,0
0,0,19,4,14,0,0,0
0,0,43,11,23,0,0,0
0,1,10,5,3,0,0,0
0,0,93,27,45,0,0,0
0,1,57,17,23,0,0,0
0,0,17,1,9,0,0,0
0,0,46,10,23,0,0,0
0,0,6,3,1,0,0,0
0,1,45,13,18,0,0,0
0,0,41,9,25,0,0,0
0,0,8,5,1,0,0,0
0,1,46,13,19,0,0,0
0,0,49,12,30,0,0,0
0,1,13,2,9,0,0,0
0,0,19,1,9,0,0,0
0,1,1,2,2,0,0,0
0,0,11,7,1,0,0,0
0,1,54,15,23,0,0,0
0,1,3,2,5,0,0,0
0,0,66,16,39,0,0,0
0,1,5,1,3,0,0,0
0,0,17,3,7,0,0,0
0,0,116,34,59,0,0,0
0,1,18,5,6,0,0,0
0,0,87,23,51,0,0,0
0,0,140,41,74,0,0,0
0,1,15,3,11,0,0,0
0,1,16,5,5,0,0,0
0,0,70,19,44,0,0,0
0,0,9,4,1,0,0,0
0,1,50,13,20,0,0,0
0,1,10,2,9,0,0,0
0,1,14,5,11,0,0,0
0,1,16,5,11,0,0,0
0,1,56,15,23,0,0,0
0,0,18,3,9,0,0,0
0,0,92,27,45,0,0,0
0,0,12,8,1,0,0,0
0,0,48,13,33,0,0,0
