IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
0,0,167,48,104,0,0,0
0,0,168,48,104,0,0,0
16,5,206,74,119,6,3,7
0,0,168,48,104,0,0,0
0,0,168,48,104,0,0,0
0,5,180,54,108,0,0,0
0,0,252,91,111,0,0,0
0,12,212,63,125,0,0,0
0,0,174,47,111,0,0,0
0,4,165,54,104,1,0,0
0,4,167,53,105,0,0,0
16,6,188,75,112,6,9,11
4,7,184,61,106,2,0,3
0,1,165,49,100,1,0,0
8,6,190,60,112,4,2,3
1,4,171,54,101,0,0,0
0,0,157,47,100,0,0,1
0,0,159,47,101,0,0,0
26,8,185,66,105,5,6,10
12,8,173,59,104,3,3,2
2,0,164,48,101,0,0,1
1,0,153,48,94,0,0,0
0,5,166,54,103,0,0,1
1,4,166,53,104,1,0,0
0,0,164,48,101,0,0,0
8,10,175,55,105,7,6,0
0,0,155,46,97,1,1,0
4,0,156,45,97,0,1,0
0,0,164,47,103,0,0,0
0,0,156,47,102,0,0,0
15,8,178,59,108,2,2,1
1,0,169,47,105,0,0,0
0,0,161,48,103,0,0,0
8,11,183,58,106,2,3,2
0,0,165,49,103,0,1,0
0,5,165,53,102,0,0,0
1,2,156,48,94,1,0,0
3,0,156,49,94,0,0,1
19,10,190,66,113,9,12,8
15,8,173,56,105,3,5,4
1,0,166,48,101,0,0,0
16,5,191,69,113,6,12,13
15,8,179,58,106,3,5,3
1,0,165,47,102,0,1,0
1,4,173,51,104,0,0,0
2,0,156,48,95,0,0,0
7,10,173,54,107,1,9,5
23,16,185,63,114,7,11,12
0,4,169,52,102,1,1,2
1,4,165,52,101,0,0,1
4,0,161,47,99,0,0,0
0,4,171,53,102,1,1,0
2,0,159,49,97,0,0,0
0,1,160,48,104,0,0,0
7,6,175,55,106,5,4,6
0,2,160,48,96,0,2,0
2,1,160,47,99,0,0,1
0,4,172,53,104,1,0,0
9,5,177,61,104,3,4,4
3,0,161,48,97,0,1,1
26,11,177,60,114,13,12,3
8,8,178,55,112,6,2,5
0,5,166,53,101,0,0,0
0,4,172,53,99,0,1,0
0,4,168,54,103,0,1,0
1,6,165,53,98,0,1,0
0,0,158,46,98,0,0,0
0,0,161,48,99,0,0,0
29,8,185,68,109,6,5,5
2,1,162,48,99,0,0,1
2,3,157,48,100,1,1,0
13,8,175,57,99,7,4,4
1,0,159,47,102,0,0,0
13,8,172,58,102,7,2,2
1,4,166,54,99,0,0,0
0,0,161,48,100,0,0,0
2,0,157,46,102,0,0,0
11,9,175,60,102,2,2,5
0,0,167,48,102,1,0,1
0,1,159,48,99,0,0,0
0,0,163,48,101,0,0,0
0,0,162,48,99,0,0,0
1,0,160,48,101,0,0,0
19,9,190,69,107,8,7,12
1,0,169,49,104,1,0,0
1,4,166,55,95,1,2,3
2,0,153,49,98,0,1,0
0,0,165,48,101,0,0,0
3,4,160,49,101,0,0,2
2,1,162,46,100,1,0,1
0,1,164,48,101,1,0,0
0,1,159,48,98,0,0,2
14,10,175,57,105,3,6,6
0,0,160,48,101,0,0,0
8,8,178,58,105,2,3,8
0,0,163,47,104,0,0,0
9,9,175,58,106,5,4,2
0,4,169,53,103,0,1,1
1,0,156,47,103,0,0,0
9,9,174,56,102,5,5,2
4,3,163,49,99,0,1,0
1,0,157,50,95,0,0,1
7,7,187,62,105,3,2,1
0,5,166,56,101,0,0,1
1,4,164,52,100,1,0,0
23,14,181,62,106,15,5,12
15,10,177,56,101,3,5,0
1,0,164,48,100,2,1,1
2,0,168,48,101,0,2,0
1,4,171,54,99,1,0,1
0,0,161,49,98,0,0,0
1,0,161,49,98,0,0,0
24,10,189,69,109,6,7,10
8,6,186,63,106,1,3,1
2,1,164,48,101,0,0,0
2,4,169,56,98,0,0,1
1,1,162,48,99,0,0,0
0,0,162,49,97,1,1,1
18,10,186,69,115,12,6,6
4,9,186,61,105,0,4,2
0,0,164,48,101,0,0,1
1,4,169,54,98,0,0,1
2,0,162,49,97,0,0,1
0,0,161,49,97,1,0,0
14,9,192,67,110,11,9,7
0,0,165,48,101,1,1,0
1,4,169,54,99,0,0,0
1,0,162,49,97,0,1,0
0,0,162,49,97,0,0,0
19,7,189,67,114,6,4,9
1,5,169,56,97,1,0,0
0,0,162,51,97,0,0,1
0,0,163,50,97,0,0,0
16,7,194,65,110,12,8,5
3,8,182,60,108,3,5,3
2,0,164,48,101,0,0,0
13,10,174,55,103,2,7,8
1,0,160,46,102,0,0,0
1,1,160,47,99,0,0,0
20,15,181,67,107,7,10,10
6,7,185,60,110,3,1,2
7,7,176,60,100,5,6,3
3,1,164,49,98,1,0,0
1,0,164,48,98,0,3,1
1,0,158,46,99,0,0,0
21,9,180,65,113,8,9,14
3,0,156,49,95,0,0,1
11,8,176,61,101,3,7,3
0,0,163,48,101,0,0,0
1,0,161,47,102,0,0,0
1,4,168,54,100,1,0,0
0,1,156,48,100,0,0,0
1,4,163,53,102,1,0,0
2,0,161,48,97,1,1,0
11,8,180,61,101,1,4,2
