IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
0,0,7,3,1,0,0,0
0,0,7,4,1,0,0,0
0,0,6,3,1,0,0,0
0,0,8,5,1,0,0,0
0,0,11,7,1,0,0,0
0,0,9,4,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,7,3,1,0,0,0
0,0,11,6,1,0,0,0
0,0,11,6,1,0,0,0
0,0,9,2,5,0,0,0
0,0,8,4,1,0,0,0
0,0,9,5,1,0,0,0
0,0,6,3,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,7,4,1,0,0,0
0,0,8,2,4,0,0,0
0,0,10,6,1,0,0,0
0,0,9,5,1,0,0,0
0,0,6,3,1,0,0,0
0,0,8,4,1,0,0,0
0,0,8,4,1,0,0,0
0,0,8,4,1,0,0,0
0,0,9,2,5,0,0,0
0,0,9,5,1,0,0,0
0,0,6,3,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,10,6,1,0,0,0
0,0,7,5,1,0,0,0
0,0,9,4,1,0,0,0
0,0,8,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,8,4,1,0,0,0
0,0,8,3,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,6,4,5,0,0,0
0,0,12,7,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,1,5,0,0,0
0,0,10,6,1,0,0,0
0,0,10,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,10,6,1,0,0,0
0,0,11,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,7,3,5,0,0,0
0,0,12,8,1,0,0,0
0,0,10,7,1,0,0,0
0,0,10,5,1,0,0,0
0,0,10,6,1,0,0,0
0,0,7,4,5,0,0,0
0,0,12,8,1,0,0,0
0,0,2,5,5,0,0,0
0,0,7,4,1,0,0,0
0,0,10,4,1,0,0,0
0,0,7,3,1,0,0,0
0,0,8,4,1,0,0,0
0,0,10,5,1,0,0,0
0,0,11,6,1,0,0,0
0,0,10,6,1,0,0,0
0,0,8,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,6,1,0,0,0
0,0,11,7,1,0,0,0
0,0,10,2,5,0,0,0
0,0,7,4,1,0,0,0
0,0,5,5,5,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,10,6,1,0,0,0
0,0,10,6,1,0,0,0
0,0,11,1,5,0,0,0
0,0,10,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,8,3,5,0,0,0
0,0,12,8,1,0,0,0
0,0,7,3,5,0,0,0
0,0,9,4,1,0,0,0
0,0,8,4,1,0,0,0
0,0,8,4,5,0,0,0
0,0,5,3,1,0,0,0
0,0,8,5,1,0,0,0
0,0,8,4,1,0,0,0
0,0,8,3,1,0,0,0
0,0,3,2,1,0,0,0
0,0,7,4,1,0,0,0
0,0,8,5,1,0,0,0
0,0,8,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,3,3,4,0,0,0
0,0,10,6,1,0,0,0
0,0,10,1,5,0,0,0
0,0,12,8,1,0,0,0
0,0,11,7,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,10,2,5,0,0,0
0,0,9,5,1,0,0,0
0,0,7,1,4,0,0,0
0,0,3,4,4,0,0,0
0,0,7,4,1,0,0,0
0,0,10,1,5,0,0,0
0,0,10,5,1,0,0,0
0,0,7,5,1,0,0,0
0,0,7,4,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,4,1,0,0,0
0,0,7,4,1,0,0,0
0,0,12,9,0,0,0,0
0,0,12,8,1,0,0,0
0,0,10,2,5,0,0,0
0,0,9,5,1,0,0,0
0,0,8,5,1,0,0,0
0,0,8,3,5,0,0,0
0,0,12,8,1,0,0,0
0,0,8,4,1,0,0,0
0,0,7,4,5,0,0,0
0,0,12,8,1,0,0,0
0,0,7,4,1,0,0,0
0,0,12,6,1,0,0,0
0,0,3,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,7,3,5,0,0,0
0,0,9,5,1,0,0,0
0,0,8,5,1,0,0,0
0,0,7,3,1,0,0,0
0,0,8,3,5,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,11,6,1,0,0,0
0,0,7,4,1,0,0,0
0,0,9,1,5,0,0,0
0,0,9,4,1,0,0,0
0,0,12,8,1,0,0,0
0,0,11,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,7,1,0,0,0
0,0,7,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,8,5,1,0,0,0
0,0,9,2,5,0,0,0
0,0,8,3,5,0,0,0
0,0,9,4,1,0,0,0
0,0,12,8,1,0,0,0
0,0,9,5,1,0,0,0
0,0,12,8,1,0,0,0
0,0,8,5,1,0,0,0
0,0,7,3,5,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,10,6,1,0,0,0
0,0,5,5,5,0,0,0
0,0,10,6,1,0,0,0
0,0,8,4,5,0,0,0
0,0,11,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,11,7,1,0,0,0
0,0,12,8,1,0,0,0
0,0,4,6,4,0,0,0
0,0,6,5,5,0,0,0
0,0,10,6,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,7,3,5,0,0,0
0,0,6,3,1,0,0,0
0,0,12,8,1,0,0,0
0,0,10,7,1,0,0,0
0,0,11,7,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,8,4,1,0,0,0
0,0,12,8,1,0,0,0
0,0,10,6,1,0,0,0
0,0,6,2,1,0,0,0
0,0,12,8,1,0,0,0
0,0,12,8,1,0,0,0
0,0,7,3,1,0,0,0
0,0,10,1,5,0,0,0
