Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc0_2_rcam,0,0,167,48,104,0,0,0,319,1837,77,16,ORIGIN MULTIPLIER,"[320, 319]"
mult8_cgp14ep_ep13107_wc0_rcam,0,0,168,48,104,0,0,0,320,1834,77,16,ORIGIN MULTIPLIER,"[320, 320]"
mult8_cgp14ep_ep13107_wc0_wtmcla,16,5,206,74,119,6,3,7,436,2873,86,42,ORIGIN MULTIPLIER,"[490, 436]"
8_wtm_csa-396-26.chr,0,12,212,63,125,0,0,0,412,3504,95,40,ORIGIN MULTIPLIER,"[418, 412]"
8_wtm_rca-332-31.chr,0,0,174,47,111,0,0,0,332,2815,83,40,ORIGIN MULTIPLIER,"[333, 332]"
8_csam_rca-320-28.chr,0,0,168,48,104,0,0,0,320,2724,77,26,ORIGIN MULTIPLIER,"[320, 320]"
8_csam_csa-347-25.chr,0,5,180,54,108,0,0,0,347,2948,79,26,ORIGIN MULTIPLIER,"[347, 347]"
8_wtm_cla-418-22.chr,0,0,252,91,111,0,0,0,454,4056,83,40,ORIGIN MULTIPLIER,"[490, 454]"
8_rcam-320-40.chr,0,0,168,48,104,0,0,0,320,2705,77,16,ORIGIN MULTIPLIER,"[320, 320]"
mult8_cgp14ep_ep19660_wc16_2_wtmrca,0,0,165,47,103,0,0,1,316,1928,78,34,"[0, 0, 34, 8, 22, 0, 0, 0]","[333, 316]"
mult8_cgp14ep_ep26214_wc1288_wtmrca,0,1,159,47,99,0,0,0,306,1935,72,40,"[0, 0, 61, 17, 37, 0, 0, 0]","[333, 306]"
mult8_cgp14ep_ep26214_wc160_2_wtmrca,2,1,154,49,90,0,1,1,298,1938,64,34,"[0, 0, 38, 8, 25, 0, 0, 0]","[333, 298]"
mult8_cgp14ep_ep32768_wc21520_wtmrca,4,2,146,50,83,0,1,2,288,1973,52,32,"[0, 0, 141, 40, 83, 0, 0, 0]","[333, 288]"
mult8_cgp14ep_ep32768_wc394_wtmrca,9,1,145,52,78,1,0,1,287,1944,55,20,"[0, 0, 72, 13, 36, 0, 0, 0]","[333, 287]"
mult8_cgp14ep_ep49152_wc188_wtmrca,9,3,143,49,83,0,0,1,288,1985,61,26,"[0, 0, 70, 16, 38, 0, 0, 0]","[333, 288]"
mult8_cgp14ep_ep49152_wc752_wtmrca,18,2,128,51,59,2,1,5,266,2020,41,20,"[0, 0, 89, 19, 50, 0, 0, 0]","[333, 266]"
mult8_cgp14ep_ep55705_wc32354_wtmrca,27,14,88,66,17,13,10,13,248,2027,0,0,"[0, 0, 158, 45, 88, 0, 0, 0]","[333, 248]"
mult8_cgp14ep_ep55705_wc770_wtmrca,16,4,117,46,66,2,4,2,257,2009,42,16,"[0, 0, 97, 24, 52, 0, 0, 0]","[333, 257]"
mult8_cgp14ep_ep55705_wc916_wtmrca,10,3,126,46,69,5,3,4,266,2011,47,26,"[0, 0, 109, 30, 65, 0, 0, 0]","[333, 266]"
mult8_cgp14ep_ep62259_wc1875_wtmrca,39,11,89,39,50,7,8,6,249,2050,25,12,"[0, 0, 131, 34, 71, 0, 0, 0]","[333, 249]"
mult8_cgp14ep_ep63078_wc495_wtmrca,29,3,104,37,60,2,6,6,247,2064,40,16,"[0, 0, 114, 28, 58, 0, 0, 0]","[333, 247]"
mult8_cgp14ep_ep63078_wc497_wtmrca,23,6,103,39,61,7,4,3,246,2023,44,18,"[0, 0, 95, 20, 53, 0, 0, 0]","[333, 246]"
mult8_cgp14ep_ep63897_wc129_wtmrca,15,5,127,40,79,2,1,3,272,1998,60,26,"[0, 0, 79, 18, 39, 0, 0, 0]","[333, 272]"
mult8_cgp14ep_ep63897_wc319_2_wtmrca,22,4,112,37,70,2,2,4,253,2008,53,24,"[0, 0, 97, 21, 45, 0, 0, 0]","[333, 253]"
mult8_cgp14ep_ep63897_wc34_wtmrca,4,2,144,43,89,0,1,1,284,1974,69,30,"[0, 0, 52, 11, 28, 0, 0, 0]","[333, 284]"
mult8_cgp14ep_ep64716_wc162_wtmrca,10,2,123,42,78,4,2,1,262,2001,61,28,"[0, 0, 72, 14, 33, 0, 0, 0]","[333, 262]"
mult8_cgp14ep_ep64716_wc17_wtmrca,2,0,154,45,97,1,0,0,299,1950,75,32,"[0, 0, 29, 5, 17, 0, 0, 0]","[333, 299]"
mult8_cgp14ep_ep64716_wc3664_wtmrca,25,18,68,36,36,24,19,23,249,2131,15,12,"[0, 0, 141, 38, 79, 0, 0, 0]","[333, 249]"
mult8_cgp14ep_ep65536_wc4553_wtmrca,35,12,60,38,38,15,21,22,241,2098,17,12,"[0, 0, 139, 31, 76, 0, 0, 0]","[333, 241]"
