Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Cells,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count
mult8_cgp14ep_ep13107_wc324_2_wtmrca,1,0,165,48,102,0,1,0,317,1926,73,40
mult8_cgp14ep_ep65536_wc1786_wtmcla,56,20,92,53,57,25,25,33,361,3048,26,12
mult8_cgp14ep_ep42598_wc248_wtmrca,9,1,144,48,82,0,0,1,285,1951,61,26
mult8_cgp14ep_ep64716_wc1877_csamrca,29,16,72,29,58,14,12,13,243,2013,23,10
mult8_cgp14ep_ep19660_wc302_csamrca,3,0,151,46,94,0,0,2,296,1867,64,18
mult8_cgp14ep_ep13107_wc688_wtmcsa,9,7,183,60,106,0,0,2,367,2441,75,40
mult8_cgp14ep_ep42598_wc2432_wtmrca,4,1,148,50,83,2,1,1,290,1956,58,24
mult8_cgp14ep_ep26214_wc120_rcam,1,0,154,51,91,0,0,2,299,1874,62,8
mult8_cgp14ep_ep65536_wc393_wtmrca,24,4,110,39,67,5,2,4,255,2023,47,20
mult8_cgp14ep_ep64716_wc17538_wtmcla,58,39,63,50,40,42,42,43,377,3137,4,2
mult8_cgp14ep_ep63078_wc473_csamrca,18,7,106,37,62,17,10,13,270,1946,38,14
mult8_cgp14ep_ep63897_wc42_rcam,5,0,149,41,92,2,1,3,293,1888,69,8
mult8_cgp14ep_ep26214_wc1_wtmcla,23,7,198,63,117,13,7,16,444,2898,88,38
mult8_cgp14ep_ep64716_wc1503_csamcsa,21,20,87,43,56,8,15,14,264,2174,26,8
mult8_cgp14ep_ep13107_wc328_rcam,0,0,162,50,101,0,0,0,313,1851,74,16
mult8_cgp14ep_ep13107_wc60_rcam,1,0,159,48,97,0,0,2,307,1848,70,10
mult8_cgp14ep_ep13107_wc10_3_wtmrca,0,0,164,48,101,0,0,1,314,1926,77,36
mult8_cgp14ep_ep32768_wc5598_csamcsa,5,6,150,54,82,2,1,1,301,2053,48,10
mult8_cgp14ep_ep49152_wc132_csamcsa,2,4,148,52,89,2,3,2,302,2058,58,20
mult8_cgp14ep_ep49152_wc2_4_csamcsa,1,5,172,53,102,0,0,0,333,2012,76,22
mult8_cgp14ep_ep63897_wc14_2_csamcsa,4,6,162,50,96,1,0,2,321,2044,73,20
mult8_cgp14ep_ep64716_wc60931_csamcsa,45,32,44,31,20,25,35,30,262,2266,0,0
mult8_cgp14ep_ep62259_wc13_csamcsa,1,6,161,51,97,2,0,0,318,2028,72,20
mult8_cgp14ep_ep26214_wc610_csamcsa,2,7,159,53,90,2,0,0,313,2033,60,16
mult8_cgp14ep_ep32768_wc48_wtmcla,23,6,185,70,97,9,6,15,411,2935,67,32
mult8_cgp14ep_ep42598_wc3_3_rcam,0,0,165,48,102,0,0,0,315,1849,76,14
mult8_cgp14ep_ep32768_wc1152_wtmcsa,8,9,190,58,112,4,3,1,385,2454,84,40
mult8_cgp14ep_ep55705_wc5288_wtmrca,23,12,107,61,41,3,4,1,252,2030,13,6
mult8_cgp14ep_ep64716_wc5696_wtmrca,37,19,64,37,35,15,16,15,238,2103,14,18
mult8_cgp14ep_ep64716_wc10786_csamcsa,35,34,44,32,44,21,23,18,251,2212,7,4
mult8_cgp14ep_ep32768_wc1144_csamrca,2,0,146,46,89,1,0,0,284,1877,56,20
mult8_cgp14ep_ep65536_wc7_4_csamrca,2,1,160,50,97,0,0,1,311,1852,73,20
mult8_cgp14ep_ep19660_wc2372_csamcsa,1,4,162,54,96,1,0,0,318,2037,64,22
mult8_cgp14ep_ep65536_wc8881_wtmcsa,54,31,64,40,37,31,31,28,316,2674,5,4
mult8_cgp14ep_ep55705_wc104_2_wtmcsa,10,8,173,60,95,2,3,2,353,2480,70,30
mult8_cgp14ep_ep55705_wc497_csamrca,13,3,127,47,63,5,2,2,262,1934,43,14
mult8_cgp14ep_ep65536_wc65_csamrca,9,4,140,45,89,3,0,0,290,1882,67,16
mult8_cgp14ep_ep63078_wc968_3_wtmcsa,41,12,115,56,62,10,5,2,303,2563,39,18
mult8_cgp14ep_ep64716_wc769_wtmcsa,54,12,106,44,65,15,5,11,312,2588,34,26
mult8_cgp14ep_ep63897_wc489_rcam,15,5,112,45,67,9,8,6,267,1957,40,6
mult8_cgp14ep_ep32768_wc1936_wtmcsa,12,13,168,53,99,6,6,3,360,2483,62,38
mult8_cgp14ep_ep19660_wc672_2_csamrca,3,0,151,49,91,1,1,1,297,1877,59,18
mult8_cgp14ep_ep62259_wc6784_csamcsa,29,16,86,57,32,11,16,12,259,2180,6,4
mult8_cgp14ep_ep63078_wc24704_rcam,35,23,58,46,12,23,20,12,229,2008,0,0
mult8_cgp14ep_ep49152_wc92_csamcsa,5,6,153,52,85,1,2,0,304,2056,61,18
mult8_cgp14ep_ep63897_wc105_csamcsa,8,10,134,50,81,2,4,2,291,2054,57,16
mult8_cgp14ep_ep19660_wc5_csamcsa,0,4,172,54,102,0,0,0,332,2011,76,24
mult8_cgp14ep_ep55705_wc606_rcam,12,5,120,47,66,8,5,8,271,1916,38,4
mult8_cgp14ep_ep19660_wc2592_csamcsa,1,4,154,51,93,4,0,1,308,2029,66,14
mult8_cgp14ep_ep64716_wc9_wtmcsa,10,8,181,60,105,3,1,1,369,2474,82,36
mult8_cgp14ep_ep64716_wc10496_wtmrca,34,19,52,38,26,28,21,24,242,2131,1,6
mult8_cgp14ep_ep26214_wc3_csamcsa,1,4,172,53,102,0,0,0,332,2014,76,24
mult8_cgp14ep_ep62259_wc3_4_csamrca,0,0,165,49,102,0,0,0,316,1840,76,22
mult8_cgp14ep_ep19660_wc600_rcam,3,0,156,48,98,0,0,0,305,1855,64,14
mult8_cgp14ep_ep42598_wc21440_wtmcla,32,13,144,64,96,16,16,13,394,2935,49,20
mult8_cgp14ep_ep32768_wc6798_csamcsa,3,0,143,49,90,5,0,3,293,2060,58,16
mult8_cgp14ep_ep26214_wc1668_wtmcsa,12,9,171,54,97,7,6,4,360,2478,67,34
mult8_cgp14ep_ep42598_wc1822_csamrca,4,1,128,48,75,5,0,4,265,1905,46,8
mult8_cgp14ep_ep42598_wc694_wtmcla,29,10,149,63,81,12,12,11,367,2941,50,20
mult8_cgp14ep_ep63078_wc307_wtmrca,21,3,112,40,68,3,5,4,256,2018,52,22
mult8_cgp14ep_ep62259_wc54_wtmrca,8,2,143,43,86,1,0,0,283,1971,66,28
mult8_cgp14ep_ep55705_wc4_5_csamcsa,1,5,171,54,101,0,1,1,334,2018,76,22
mult8_cgp14ep_ep32768_wc288_3_csamcsa,4,5,153,52,88,3,1,0,306,2057,58,18
