Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc0_2_rcam,0,0,167,48,104,0,0,0,319,1837,77,16,ORIGIN MULTIPLIER,"[320, 319]"
mult8_cgp14ep_ep13107_wc0_rcam,0,0,168,48,104,0,0,0,320,1834,77,16,ORIGIN MULTIPLIER,"[320, 320]"
mult8_cgp14ep_ep13107_wc0_wtmcla,16,5,206,74,119,6,3,7,436,2873,86,42,ORIGIN MULTIPLIER,"[490, 436]"
8_rcam-320-40.chr,0,0,168,48,104,0,0,0,320,2705,77,16,ORIGIN MULTIPLIER,"[320, 320]"
8_csam_rca-320-28.chr,0,0,168,48,104,0,0,0,320,2724,77,26,ORIGIN MULTIPLIER,"[320, 320]"
8_csam_csa-347-25.chr,0,5,180,54,108,0,0,0,347,2948,79,26,ORIGIN MULTIPLIER,"[347, 347]"
8_wtm_cla-418-22.chr,0,0,252,91,111,0,0,0,454,4056,83,40,ORIGIN MULTIPLIER,"[490, 454]"
8_wtm_csa-396-26.chr,0,12,212,63,125,0,0,0,412,3504,95,40,ORIGIN MULTIPLIER,"[418, 412]"
8_wtm_rca-332-31.chr,0,0,174,47,111,0,0,0,332,2815,83,40,ORIGIN MULTIPLIER,"[333, 332]"
mult8_cgp14ep_ep13107_wc100_2_wtmcla,16,6,188,75,112,6,9,11,423,2889,74,40,"[0, 0, 7, 3, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep13107_wc100_wtmcla,26,8,185,66,105,5,6,10,411,2914,73,40,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep13107_wc1024_wtmcla,19,10,190,66,113,9,12,8,427,2896,80,40,"[0, 0, 6, 3, 1, 0, 0, 0]","[490, 427]"
